,County,Difference
22486,ALBANY,-0.17324781856930338
23264,ALLEGANY,1.1857142857142855
23328,BROOME,-0.18316574234021266
24227,CATTARAUGUS,-0.01998310097169398
24435,CAYUGA,-0.8074074074074074
24509,CHAUTAUQUA,0.032831633756905454
24953,CHEMUNG,-0.012670431070100463
25102,CHENANGO,0.2787693353731089
25260,CLINTON,0.26385062748699095
25504,COLUMBIA,-0.08039101254741787
25710,CORTLAND,0.3683296901118682
25820,DELAWARE,-0.2450980392156863
25892,DUTCHESS,-0.07210534773401855
27133,ERIE,0.04185737186963445
28606,ESSEX,0.09710144927536213
28700,FRANKLIN,-0.02839796318057175
28840,FULTON,-0.15783017582118042
29028,GENESEE,0.037317704783971894
29290,GREENE,-0.46181506849315035
29461,HAMILTON,0.3999999999999999
29519,HERKIMER,0.12315863728785414
29645,JEFFERSON,-0.0627005347593581
29862,LEWIS,0.013112320633349661
29984,LIVINGSTON,-0.10968404913514451
30345,MADISON,-0.014809123782008271
30553,MONROE,-0.15191675326372334
32174,MONTGOMERY,-0.3540156812884083
32371,NASSAU,-0.11717445296434059
34703,NEW YORK,-0.18400051712854015
37922,BRONX,-0.11070537850384055
40567,KINGS,-0.1921687028085013
44173,QUEENS,-0.27193782184795356
47215,RICHMOND,-0.25047654270778885
49086,NIAGARA,-0.14462499174326382
49579,ONEIDA,-0.044280240487023725
50138,ONONDAGA,-0.10361186972133751
51311,ONTARIO,-0.0420651392838578
51962,ORANGE,-0.06581732343849644
52760,ORLEANS,-0.37121007647323445
52915,OSWEGO,0.022391679764052874
53178,OTSEGO,-0.2954482758620691
53286,PUTNAM,-0.2967885434924562
53967,RENSSELAER,0.23604233183466894
54358,ROCKLAND,-0.013402348692656663
55400,SAINT LAWRENCE,-0.03544117647058842
55654,SARATOGA,0.05971559607629651
56229,SCHENECTADY,0.1798115047812905
56705,SCHOHARIE,-0.1510338898692365
56971,SENECA,-0.22956789691154844
57083,STEUBEN,-0.4855346554896749
57336,SUFFOLK,-0.10847004041225716
60274,SULLIVAN,-0.09812409812409806
60421,TIOGA,-0.4752941176470591
60523,TOMPKINS,0.10661015281233732
61091,ULSTER,0.039285548537893344
61775,WARREN,-0.16776826960126323
62072,WASHINGTON,-0.02601809954751122
62292,WAYNE,-0.23929791280920654
62550,WESTCHESTER,-0.10757438912556694
64846,WYOMING,-0.17918143731872416
64965,YATES,1.3392857142857144
