,County,Difference
29862,LEWIS,0.013112320633349661
52915,OSWEGO,0.022391679764052874
24509,CHAUTAUQUA,0.032831633756905454
29028,GENESEE,0.037317704783971894
61091,ULSTER,0.039285548537893344
27133,ERIE,0.04185737186963445
55654,SARATOGA,0.05971559607629651
28606,ESSEX,0.09710144927536213
60523,TOMPKINS,0.10661015281233732
29519,HERKIMER,0.12315863728785414
56229,SCHENECTADY,0.1798115047812905
53967,RENSSELAER,0.23604233183466894
25260,CLINTON,0.26385062748699095
25102,CHENANGO,0.2787693353731089
25710,CORTLAND,0.3683296901118682
29461,HAMILTON,0.3999999999999999
23264,ALLEGANY,1.1857142857142855
64965,YATES,1.3392857142857144
