county_name,membership_desc,grad_cnt,grad_pct
ALBANY,2015 Total Cohort - 4 Year Outcome,1693,92 %
ALLEGANY,2015 Total Cohort - 4 Year Outcome,426,88 %
BROOME,2015 Total Cohort - 4 Year Outcome,1495,86 %
CATTARAUGUS,2015 Total Cohort - 4 Year Outcome,771,89 %
CAYUGA,2015 Total Cohort - 4 Year Outcome,502,79 %
CHAUTAUQUA,2015 Total Cohort - 4 Year Outcome,1049,87 %
CHEMUNG,2015 Total Cohort - 4 Year Outcome,553,76 %
CHENANGO,2015 Total Cohort - 4 Year Outcome,452,81 %
CLINTON,2015 Total Cohort - 4 Year Outcome,676,85 %
COLUMBIA,2015 Total Cohort - 4 Year Outcome,375,87 %
CORTLAND,2015 Total Cohort - 4 Year Outcome,412,84 %
DELAWARE,2015 Total Cohort - 4 Year Outcome,294,81 %
DUTCHESS,2015 Total Cohort - 4 Year Outcome,1938,88 %
ERIE,2015 Total Cohort - 4 Year Outcome,5861,90 %
ESSEX,2015 Total Cohort - 4 Year Outcome,267,92 %
FRANKLIN,2015 Total Cohort - 4 Year Outcome,392,86 %
FULTON,2015 Total Cohort - 4 Year Outcome,436,79 %
GENESEE,2015 Total Cohort - 4 Year Outcome,499,93 %
GREENE,2015 Total Cohort - 4 Year Outcome,331,84 %
HAMILTON,2015 Total Cohort - 4 Year Outcome,-,-
HERKIMER,2015 Total Cohort - 4 Year Outcome,586,85 %
JEFFERSON,2015 Total Cohort - 4 Year Outcome,826,83 %
LEWIS,2015 Total Cohort - 4 Year Outcome,272,91 %
LIVINGSTON,2015 Total Cohort - 4 Year Outcome,488,90 %
MADISON,2015 Total Cohort - 4 Year Outcome,612,85 %
MONROE,2015 Total Cohort - 4 Year Outcome,4438,91 %
MONTGOMERY,2015 Total Cohort - 4 Year Outcome,350,82 %
NASSAU,2015 Total Cohort - 4 Year Outcome,7757,96 %
NEW YORK,2015 Total Cohort - 4 Year Outcome,1805,87 %
BRONX,2015 Total Cohort - 4 Year Outcome,538,80 %
KINGS,2015 Total Cohort - 4 Year Outcome,2573,78 %
QUEENS,2015 Total Cohort - 4 Year Outcome,2016,81 %
RICHMOND,2015 Total Cohort - 4 Year Outcome,1892,87 %
NIAGARA,2015 Total Cohort - 4 Year Outcome,1559,86 %
ONEIDA,2015 Total Cohort - 4 Year Outcome,1694,88 %
ONONDAGA,2015 Total Cohort - 4 Year Outcome,3284,88 %
ONTARIO,2015 Total Cohort - 4 Year Outcome,997,89 %
ORANGE,2015 Total Cohort - 4 Year Outcome,2423,91 %
ORLEANS,2015 Total Cohort - 4 Year Outcome,328,88 %
OSWEGO,2015 Total Cohort - 4 Year Outcome,1245,83 %
OTSEGO,2015 Total Cohort - 4 Year Outcome,376,78 %
PUTNAM,2015 Total Cohort - 4 Year Outcome,867,94 %
RENSSELAER,2015 Total Cohort - 4 Year Outcome,1081,90 %
ROCKLAND,2015 Total Cohort - 4 Year Outcome,1530,95 %
SAINT LAWRENCE,2015 Total Cohort - 4 Year Outcome,897,84 %
SARATOGA,2015 Total Cohort - 4 Year Outcome,2214,91 %
SCHENECTADY,2015 Total Cohort - 4 Year Outcome,887,88 %
SCHOHARIE,2015 Total Cohort - 4 Year Outcome,241,80 %
SCHUYLER,2015 Total Cohort - 4 Year Outcome,130,94 %
SENECA,2015 Total Cohort - 4 Year Outcome,220,82 %
STEUBEN,2015 Total Cohort - 4 Year Outcome,935,86 %
SUFFOLK,2015 Total Cohort - 4 Year Outcome,11179,95 %
SULLIVAN,2015 Total Cohort - 4 Year Outcome,411,83 %
TIOGA,2015 Total Cohort - 4 Year Outcome,470,86 %
TOMPKINS,2015 Total Cohort - 4 Year Outcome,567,85 %
ULSTER,2015 Total Cohort - 4 Year Outcome,1154,89 %
WARREN,2015 Total Cohort - 4 Year Outcome,526,83 %
WASHINGTON,2015 Total Cohort - 4 Year Outcome,524,84 %
WAYNE,2015 Total Cohort - 4 Year Outcome,839,88 %
WESTCHESTER,2015 Total Cohort - 4 Year Outcome,4981,95 %
WYOMING,2015 Total Cohort - 4 Year Outcome,285,90 %
YATES,2015 Total Cohort - 4 Year Outcome,138,84 %
