,County,Difference
1180,ALBANY,-2.0
1315,ALLEGANY,-2.0
1442,BROOME,-3.0
1580,CATTARAUGUS,1.0
1710,CAYUGA,-4.0
1844,CHAUTAUQUA,-1.0
1980,CHEMUNG,-8.0
2110,CHENANGO,-7.0
2240,CLINTON,-3.0
2379,COLUMBIA,-1.0
2511,CORTLAND,-3.0
2634,DELAWARE,-5.0
2762,DUTCHESS,-4.0
2906,ERIE,-5.0
3042,ESSEX,3.0
3163,FRANKLIN,-3.0
3289,FULTON,-3.0
3413,GENESEE,-0.0
3545,GREENE,-5.0
3655,HAMILTON,4.0
3753,HERKIMER,-3.0
3886,JEFFERSON,-3.0
4019,LEWIS,-1.0
4144,LIVINGSTON,-4.0
4270,MADISON,-3.0
4402,MONROE,-3.0
4543,MONTGOMERY,-10.0
4679,NASSAU,-2.0
4816,NEW YORK,-2.0
4951,BRONX,-5.0
5086,KINGS,-2.0
5221,QUEENS,-3.0
5358,RICHMOND,-2.0
5494,NIAGARA,-2.0
5635,ONEIDA,-2.0
5777,ONONDAGA,-2.0
5919,ONTARIO,-2.0
6060,ORANGE,-2.0
6200,ORLEANS,-2.0
6337,OSWEGO,-3.0
6473,OTSEGO,-10.0
6598,PUTNAM,-1.0
6731,RENSSELAER,-0.0
6868,ROCKLAND,-0.0
7004,SAINT LAWRENCE,-1.0
7141,SARATOGA,-1.0
7274,SCHENECTADY,-3.0
7402,SCHOHARIE,-11.0
7522,SCHUYLER,-0.0
7641,SENECA,-5.0
7767,STEUBEN,-3.0
7904,SUFFOLK,-2.0
8046,SULLIVAN,-1.0
8178,TIOGA,-3.0
8299,TOMPKINS,2.0
8435,ULSTER,-2.0
8572,WARREN,-6.0
8706,WASHINGTON,3.0
8837,WAYNE,-1.0
8968,WESTCHESTER,-1.0
9102,WYOMING,-2.0
9226,YATES,3.0
